2025-11-27 21:44:34,843 - Set max loop times to 300.
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000f94 , size=0x000000000000000e (lr=0x8000f95)
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000fae , size=0x0000000000000006 (lr=0x8000f95)
2025-11-27 21:44:34,863 - [frame_dummy] Basic Block: addr= 0x0000000008000224 , size=0x0000000000000006 (lr=0x8000fb5)
2025-11-27 21:44:34,863 -         >>> Write: addr= 0x2001ffe8[SP:-008] size=4 data=0x08000225 pc=0x08000224
2025-11-27 21:44:34,863 -         >>> Write: addr= 0x2001ffec[SP:-004] size=4 data=0x08000fb5 pc=0x08000224
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000232 , size=0x0000000000000008 (lr=0x8000fb5)
2025-11-27 21:44:34,863 - [register_tm_clones] Basic Block: addr= 0x00000000080001d8 , size=0x0000000000000010 (lr=0x8000fb5)
2025-11-27 21:44:34,863 - Basic Block: addr= 0x00000000080001ee , size=0x0000000000000002 (lr=0x8000fb5)
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000fb4 , size=0x0000000000000004 (lr=0x8000fb5)
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000f9e , size=0x0000000000000004 (lr=0x8000fb5)
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000fa2 , size=0x0000000000000002 (lr=0x8000fb5)
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000d3a , size=0x0000000000000004 (lr=0x8000fb5)
2025-11-27 21:44:34,863 - Basic Block: addr= 0x0000000008000d5c , size=0x0000000000000008 (lr=0x8000d3f)
2025-11-27 21:44:34,863 -         >>> Write: addr= 0x2001fffc[SP:-004] size=4 data=0x08000d3f pc=0x08000d5c
2025-11-27 21:44:34,863 - [HAL_Init] Basic Block: addr= 0x0000000008000300 , size=0x000000000000001a (lr=0x8000d65)
2025-11-27 21:44:34,863 -         >>> Write: addr= 0x2001ffa0[SP:-008] size=4 data=0x00000000 pc=0x08000300
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x2001ffa4[SP:-004] size=4 data=0x08000d65 pc=0x08000300
2025-11-27 21:44:34,864 -         >>> Read: addr= 0x0000000040023c00 size=4 data=0x00000000 pc=0x08000304
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x0000000040023c00 size=4 data=0x0000000000000200 pc=0x0800030a
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x0000000040023c00 size=4 data=0x0000000000000600 pc=0x08000312
2025-11-27 21:44:34,864 - [HAL_NVIC_SetPriorityGrouping] Basic Block: addr= 0x0000000008000344 , size=0x0000000000000020 (lr=0x800031b)
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x00000000e000ed0c size=4 data=0x0000000005fa0300 pc=0x08000360
2025-11-27 21:44:34,864 - Basic Block: addr= 0x000000000800031a , size=0x0000000000000006 (lr=0x800031b)
2025-11-27 21:44:34,864 - [HAL_InitTick] Basic Block: addr= 0x00000000080002b8 , size=0x000000000000001c (lr=0x8000321)
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x2001ff90[SP:-010] size=4 data=0x05fa0300 pc=0x080002b8
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x2001ff94[SP:-00c] size=4 data=0x20000108 pc=0x080002b8
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x2001ff98[SP:-008] size=4 data=0x00000000 pc=0x080002b8
2025-11-27 21:44:34,864 -         >>> Write: addr= 0x2001ff9c[SP:-004] size=4 data=0x08000321 pc=0x080002b8
2025-11-27 21:44:34,864 -         >>> Read: addr= 0x0000000020000014 size=1 data=0x00000001 pc=0x080002bc
2025-11-27 21:44:34,864 -         >>> Read: addr= 0x00000000080002f8 size=4 data=0x20000010 pc=0x080002c6
2025-11-27 21:44:34,864 -         >>> Read: addr= 0x0000000020000010 size=4 data=0x00f42400 pc=0x080002ca
2025-11-27 21:44:34,864 - [HAL_SYSTICK_Config] Basic Block: addr= 0x00000000080003e8 , size=0x0000000000000008 (lr=0x80002d5)
2025-11-27 21:44:34,865 - Basic Block: addr= 0x00000000080003f0 , size=0x0000000000000010 (lr=0x80002d5)
2025-11-27 21:44:34,865 -         >>> Read: addr= 0x000000000800040c size=4 data=0xe000ed00 pc=0x080003f4
2025-11-27 21:44:34,865 -         >>> Write: addr= 0x00000000e000e014 size=4 data=0x0000000000003e7f pc=0x080003f6
2025-11-27 21:44:34,865 -         >>> Write: addr= 0x00000000e000ed23 size=1 data=0x00000000000000f0 pc=0x080003fa
2025-11-27 21:44:34,865 - Basic Block: addr= 0x0000000008000400 , size=0x0000000000000008 (lr=0x80002d5)
2025-11-27 21:44:34,865 -         >>> Write: addr= 0x00000000e000e018 size=4 data=0x0000000000000000 pc=0x08000402
2025-11-27 21:44:34,865 -         >>> Write: addr= 0x00000000e000e010 size=4 data=0x0000000000000007 pc=0x08000404
2025-11-27 21:44:34,865 - Basic Block: addr= 0x00000000080002d4 , size=0x0000000000000004 (lr=0x80002d5)
2025-11-27 21:44:34,865 - Basic Block: addr= 0x00000000080002d8 , size=0x0000000000000004 (lr=0x80002d5)
2025-11-27 21:44:34,865 - Basic Block: addr= 0x00000000080002dc , size=0x000000000000000c (lr=0x80002d5)
2025-11-27 21:44:34,865 - [HAL_NVIC_SetPriority] Basic Block: addr= 0x0000000008000368 , size=0x000000000000005a (lr=0x80002e9)
2025-11-27 21:44:34,865 -         >>> Write: addr= 0x2001ff84[SP:-00c] size=4 data=0x00000000 pc=0x0800036a
2025-11-27 21:44:34,865 -         >>> Write: addr= 0x2001ff88[SP:-008] size=4 data=0x0000000f pc=0x0800036a
2025-11-27 21:44:34,865 -         >>> Write: addr= 0x2001ff8c[SP:-004] size=4 data=0x080002e9 pc=0x0800036a
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x00000000e000ed23 size=1 data=0x00000000000000f0 pc=0x080003ba
2025-11-27 21:44:34,866 - Basic Block: addr= 0x00000000080002e8 , size=0x0000000000000008 (lr=0x80002e9)
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x0000000020000018 size=4 data=0x000000000000000f pc=0x080002ec
2025-11-27 21:44:34,866 - Basic Block: addr= 0x0000000008000320 , size=0x0000000000000004 (lr=0x80002e9)
2025-11-27 21:44:34,866 - [HAL_MspInit] Basic Block: addr= 0x00000000080002b4 , size=0x0000000000000002 (lr=0x8000325)
2025-11-27 21:44:34,866 - Basic Block: addr= 0x0000000008000324 , size=0x0000000000000004 (lr=0x8000325)
2025-11-27 21:44:34,866 - Basic Block: addr= 0x0000000008000d64 , size=0x0000000000000058 (lr=0x8000325)
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x2001ffac[SP:+004] size=4 data=0x00000000 pc=0x08000d68
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x0000000040023840 size=4 data=0x0000000010000000 pc=0x08000d70
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x2001ffac[SP:+004] size=4 data=0x10000000 pc=0x08000d78
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x2001ffb0[SP:+008] size=4 data=0x00000000 pc=0x08000d7e
2025-11-27 21:44:34,866 -         >>> Read: addr= 0x0000000040007000 size=4 data=0x00000000 pc=0x08000d80
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x0000000040007000 size=4 data=0x0000000000004000 pc=0x08000d86
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x2001ffb0[SP:+008] size=4 data=0x00004000 pc=0x08000d8e
2025-11-27 21:44:34,866 -         >>> Write: addr= 0x2001ffc8[SP:+020] size=4 data=0x00000001 pc=0x08000d98
2025-11-27 21:44:34,867 -         >>> Write: addr= 0x2001ffcc[SP:+024] size=4 data=0x00010000 pc=0x08000d98
2025-11-27 21:44:34,867 -         >>> Write: addr= 0x2001ffe0[SP:+038] size=4 data=0x00000002 pc=0x08000da2
2025-11-27 21:44:34,867 -         >>> Write: addr= 0x2001ffe4[SP:+03c] size=4 data=0x00400000 pc=0x08000da2
2025-11-27 21:44:34,867 -         >>> Write: addr= 0x2001ffe8[SP:+040] size=4 data=0x00000019 pc=0x08000dac
2025-11-27 21:44:34,867 -         >>> Write: addr= 0x2001ffec[SP:+044] size=4 data=0x00000150 pc=0x08000dac
